id,restaurant_id,customer_id,rating,comment
1,9556,5,4,Quick and tasty! Fast-casual with fresh ingredients.
2,9991,4,2,Must-try brunch! Creative twists on classics. Refreshing mimosas.
3,7691,8,10,Quick and tasty! Fast-casual with fresh ingredients.
4,9293,2,9,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
5,6983,8,10,"Disappointing. Slow service, overpriced, and lacking ambiance."
6,3705,7,4,"Loved it! Great atmosphere, service, and food."
7,2330,7,5,Quick and tasty! Fast-casual with fresh ingredients.
8,3923,8,9,"Loved it! Great atmosphere, service, and food."
9,4325,4,8,"Loved it! Great atmosphere, service, and food."
10,2237,2,5,Fantastic for special occasions. Staff went above and beyond.
11,2729,1,2,Quick and tasty! Fast-casual with fresh ingredients.
12,5649,5,9,Vegetarian heaven! Flavorful plant-based options. Refreshing!
13,5864,10,10,Must-try brunch! Creative twists on classics. Refreshing mimosas.
14,5173,1,3,"Ideal for a romantic dinner. Dim lighting, attentive service."
15,1003,2,6,Must-try brunch! Creative twists on classics. Refreshing mimosas.
16,4671,7,5,Vegetarian heaven! Flavorful plant-based options. Refreshing!
17,5625,2,9,Fantastic for special occasions. Staff went above and beyond.
18,7439,6,6,Fantastic for special occasions. Staff went above and beyond.
19,136,8,2,Fantastic for special occasions. Staff went above and beyond.
20,6915,7,9,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
21,7702,9,7,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
22,9670,3,8,"Ideal for a romantic dinner. Dim lighting, attentive service."
23,3247,7,7,"Decent selection, friendly staff. Average food. Good for a quick bite."
24,5744,4,5,"Ideal for a romantic dinner. Dim lighting, attentive service."
25,509,5,5,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
26,8087,8,8,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
27,6367,10,7,Fantastic for special occasions. Staff went above and beyond.
28,815,3,3,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
29,5456,10,1,"Perfect for family dinner! Diverse menu, accommodating staff."
30,1756,2,1,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
31,2054,7,6,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
32,5561,8,7,Fantastic for special occasions. Staff went above and beyond.
33,2755,5,9,Must-try brunch! Creative twists on classics. Refreshing mimosas.
34,1840,2,1,"Perfect for family dinner! Diverse menu, accommodating staff."
35,6609,7,1,"Disappointing. Slow service, overpriced, and lacking ambiance."
36,3069,8,9,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
37,423,7,8,"Ideal for a romantic dinner. Dim lighting, attentive service."
38,2280,4,3,"Disappointing. Slow service, overpriced, and lacking ambiance."
