id,name,customer_id,restaurant_id,supplier_id,order_date,payment_date,delivery_date,description,total_amount,currency,supply_order
1,ord-324567879-RAAC,1,1,2,2021-05-01,2021-05-01,2021-05-01,Spaghetti alla carbonara,1000,EUR,false
2,ord-789012345-SSJT,2,3,2,2021-06-15,2021-06-15,2021-06-16,Sushi Combo Deluxe,3500,USD,false
3,ord-543210987-MXFT,3,2,3,2021-07-20,2021-07-20,2021-07-21,Tacos Fiesta Platter,2500,MXN,false
4,ord-654321098-MDMD,4,4,4,2021-08-10,2021-08-10,2021-08-11,Mediterranean Feast,5000,EUR,false
5,ord-123456789-VEGB,5,5,1,2021-09-05,2021-09-05,2021-09-06,Vegetarian Delight,1800,USD,false
6,ord-987654321-THTD,1,1,2,2021-10-15,2021-10-15,2021-10-16,Teriyaki Chicken Bento,1500,JPY,false
7,ord-234567890-QCTC,2,3,3,2021-11-02,2021-11-02,2021-11-03,Quinoa Chicken Salad,1200,USD,false
8,ord-345678901-FRST,3,2,4,2021-12-05,2021-12-05,2021-12-06,Fajitas Fiesta,2800,MXN,false
9,ord-876543210-PPSS,4,4,1,2022-01-20,2022-01-20,2022-01-21,Prosciutto and Pesto Sandwich,800,EUR,false
10,ord-567890123-VGPI,5,5,2,2022-02-12,2022-02-12,2022-02-13,Vegan Pizza,2000,USD,false
